stored_as,restored_to
"José Calderón","José Luis Calderón"
"Helton Reis","Helton Dos Reis"
"Tomás Isla","Tomás Pina Isla"
"Patrick Diemen","Patrick van Diemen"
"Ali Beşerler","Ali Eren Beşerler"
"Carlos Borja","Carlos Fernando Borja"
"Alessandro Canto","Alessandro Dal Canto"
"Leonardo Oliveira","Leonardo Pereira de Oliveira"
"Mohamed Yacoubi","Mohamed Ali Yacoubi"
"Jari Takatalo","Jari Matti Takatalo"
"Pablo Escobar","Pablo Daniel Escobar"
"Dirk Ven","Dirk van der Ven"
"Eusebio Francesco","Eusebio Di Francesco"
"Juan Sorín","Juan Pablo Sorín"
"José Sierra","José Luis Sierra"
"Pape N'Diaye","Pape Seydou N'Diaye"
"Eduardo Santos","Eduardo dos Santos"
"Sean Ledger","Sean St Ledger"
"Ali Yachir","Ali Sami Yachir"
"José Aira","José Manuel Aira"
"Juan Prendes","Juan Díaz Prendes"
"Óscar Paula","Óscar de Paula"
"Álvaro Montero","Álvaro David Montero"
"Koffi Kowa","Koffi Dan Kowa"
"Marco Marchi","Marco De Marchi"
"Samuele Bona","Samuele Dalla Bona"
"Mohamed Meftah","Mohamed Rabie Meftah"
"Daniel Boumsong","Daniel Maa Boumsong"
"David López","David Asensio López"
"Luciano Paola","Luciano De Paola"
"José Nascimento","José Carlos Nascimento"
"Javier Pino","Javier del Pino"
"Filippo Moro","Filippo Dal Moro"
"Alberto Rey","Alberto Marcos Rey"
"Gilles Bilde","Gilles De Bilde"
"Edmilson Dove","Edmilson Gabriel Dove"
"José Castro","José Ángel Moreno Castro"
"Guillermo Ayala","Guillermo Martínez Ayala"
"José Pérez","José Ramón González Pérez"
"David Pastor","David Rangel Pastor"
"Giorgio Vicino","Giorgio Di Vicino"
"Juan Docabo","Juan Carlos Docabo"
"Marco Hoogdalem","Marco van Hoogdalem"
"Joseba Olmo","Joseba del Olmo"
"Francisco Mantía","Francisco La Mantía"
"José Solar","José del Solar"
"João Fernandes","João Paulo Fernandes"
"Al Al-Yami","Al Hasan Al-Yami"
"Martín Pautasso","Martín Albano Pautasso"
"Miguel Pereira","Miguel Francisco Pereira"
"Arturo Jiménez","Arturo Pavón Jiménez"
"Jonay Abreu","Jonay Martín Abreu"
"Francisco Quico","Francisco Gómez García, Quico"
"Julio González","Julio José González"
"Francisco Luke","Francisco Javier Luke"
"Sébastien Paih","Sébastien Le Paih"
"Yassin Elwely","Yassin Cheikh Elwely"
"José Calvo","José García Calvo"
"Mohamed Turay","Mohamed Buya Turay"
"Mark Man","Mark De Man"
"Olivier Cock","Olivier De Cock"
"Odd Olsen","Odd Inge Olsen"
"Marco Ruiz","Marco Antonio García Ruiz"
"Eric Omondi","Eric Johanna Omondi"
"Ahmed Moslem","Ahmed Abou Moslem"
"David Rubio","David Pérez Rubio"
"Roberto Zerbi","Roberto De Zerbi"
"Sergio García","Sergio Tejero García"
"Juan Barbero","Juan Manuel Barbero"
"Daniel Múgica","Daniel Roiz Múgica"
"José Andrade","José Antonio García Andrade"
"Muhammad Maghrabi","Muhammad Al Maghrabi"
