outcome,player,league,season,apps,goals,club,name_source,transfermarkt_name
resolved,"Cédric Soares","Primeira Liga",2013,28,1,"Sporting CP",alias,"Sporting"
resolved,"Cédric Soares","Primeira Liga",2014,24,0,"Sporting CP",alias,"Sporting"
resolved,"Cengiz Ünder","Süper Lig",2023,24,9,"Fenerbahçe",player_stats,""
resolved,"Cengiz Ünder","Süper Lig",2024,3,0,"Fenerbahçe",player_stats,""
resolved,"Cenk Tosun","Süper Lig",2015,29,8,"Beşiktaş",player_stats,"Besiktas"
resolved,"Cenk Tosun","Süper Lig",2016,33,20,"Beşiktaş",player_stats,"Besiktas"
resolved,"Cenk Tosun","Süper Lig",2017,16,8,"Beşiktaş",player_stats,"Besiktas"
resolved,"Cenk Tosun","Süper Lig",2020,3,3,"Beşiktaş",player_stats,"Besiktas"
resolved,"Cenk Tosun","Süper Lig",2022,32,15,"Beşiktaş",player_stats,"Besiktas"
resolved,"Cenk Tosun","Süper Lig",2023,34,6,"Beşiktaş",player_stats,"Besiktas"
resolved,"Cesare Casadei","Championship",2022,15,1,"Reading",player_stats,""
resolved,"Cesare Casadei","Championship",2023,22,2,"Leicester",player_stats,""
resolved,"Chancel Mbemba","Championship",2016,12,1,"Newcastle",player_stats,""
resolved,"Chancel Mbemba","Primeira Liga",2018,3,0,"Porto",player_stats,""
resolved,"Chancel Mbemba","Primeira Liga",2019,26,2,"Porto",player_stats,""
resolved,"Chancel Mbemba","Primeira Liga",2020,27,1,"Porto",player_stats,""
resolved,"Chancel Mbemba","Primeira Liga",2021,31,2,"Porto",player_stats,""
resolved,"Charlie Cresswell","Championship",2022,28,5,"Millwall",teams,""
resolved,"Charlie Cresswell","Championship",2023,5,0,"Leeds",player_stats,""
resolved,"Ché Adams","Championship",2017,30,5,"Birmingham",player_stats,""
resolved,"Ché Adams","Championship",2018,46,22,"Birmingham",player_stats,""
resolved,"Ché Adams","Championship",2023,40,15,"Southampton",player_stats,""
resolved,"Cher Ndour","Primeira Liga",2023,9,1,"SC Braga",player_stats,"Braga"
resolved,"Cher Ndour","Süper Lig",2024,12,1,"Beşiktaş",player_stats,"Besiktas"
resolved,"Chris Rigg","Championship",2023,21,2,"Sunderland",player_stats,""
resolved,"Chris Rigg","Championship",2024,42,4,"Sunderland",player_stats,""
resolved,"Chris Smalling","Saudi Pro League",2024,30,1,"Al-Fayha",teams,""
resolved,"Chris Smalling","Saudi Pro League",2025,34,3,"Al-Fayha",teams,""
resolved,"Christian Eriksen","Eredivisie",2009,15,0,"Ajax",player_stats,""
resolved,"Christian Eriksen","Eredivisie",2010,28,6,"Ajax",player_stats,""
resolved,"Christian Eriksen","Eredivisie",2011,33,7,"Ajax",player_stats,""
resolved,"Christian Eriksen","Eredivisie",2012,33,10,"Ajax",player_stats,""
resolved,"Christian Eriksen","Eredivisie",2013,4,2,"Ajax",player_stats,""
resolved,"Christian Nørgaard","Championship",2019,42,0,"Brentford",player_stats,""
resolved,"Christian Nørgaard","Championship",2020,17,0,"Brentford",player_stats,""
resolved,"Christos Tzolis","Eredivisie",2022,10,1,"Twente",player_stats,"FC Twente"
resolved,"Christos Tzolis","Championship",2022,13,1,"Norwich",player_stats,""
resolved,"Chris Wood","Championship",2009,18,1,"West Brom",player_stats,""
resolved,"Chris Wood","Championship",2013,26,4,"Leicester",player_stats,""
resolved,"Chris Wood","Championship",2014,8,0,"Ipswich",player_stats,""
resolved,"Chris Wood","Championship",2016,44,27,"Leeds",player_stats,""
resolved,"Chris Wood","Championship",2017,3,1,"Leeds",player_stats,""
resolved,"Ciro Immobile","Süper Lig",2024,30,15,"Beşiktaş",player_stats,"Besiktas"
resolved,"CJ Egan-Riley","Championship",2022,3,0,"Burnley",player_stats,""
resolved,"CJ Egan-Riley","Championship",2024,41,1,"Burnley",player_stats,""
resolved,"Cody Gakpo","Eredivisie",2018,16,1,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Cody Gakpo","Eredivisie",2019,25,7,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Cody Gakpo","Eredivisie",2020,23,7,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Cody Gakpo","Eredivisie",2021,27,12,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Cody Gakpo","Eredivisie",2022,14,9,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Connor Goldson","Championship",2016,5,0,"Brighton",player_stats,""
resolved,"Conor Coady","Championship",2014,45,3,"Huddersfield",player_stats,""
resolved,"Conor Coady","Championship",2016,40,0,"Wolves",player_stats,""
resolved,"Conor Coady","Championship",2017,45,1,"Wolves",player_stats,""
resolved,"Conor Coady","Championship",2023,12,0,"Leicester",player_stats,""
resolved,"Conrad Harder","Primeira Liga",2024,28,5,"Sporting CP",alias,"Sporting"
resolved,"Conrad Harder","Primeira Liga",2025,4,1,"Sporting CP",alias,"Sporting"
resolved,"Cristiano Ronaldo","Primeira Liga",2002,25,3,"Sporting CP",alias,"Sporting"
resolved,"Cristiano Ronaldo","UEFA Europa League",2002,2,0,"Sporting CP",alias,"Sporting"
resolved,"Cristiano Ronaldo","Saudi Pro League",2022,16,14,"Al-Nassr",teams,""
resolved,"Cristiano Ronaldo","Saudi Pro League",2023,31,35,"Al-Nassr",teams,""
resolved,"Cristiano Ronaldo","Saudi Pro League",2024,30,25,"Al-Nassr",teams,""
resolved,"Cristiano Ronaldo","Saudi Pro League",2025,30,28,"Al-Nassr",teams,""
resolved,"Crysencio Summerville","Eredivisie",2019,21,2,"ADO Den Haag",teams,""
resolved,"Crysencio Summerville","Championship",2023,43,19,"Leeds",player_stats,""
resolved,"Daley Blind","UEFA Europa League",2008,1,0,"Ajax",player_stats,""
resolved,"Daley Blind","Eredivisie",2008,5,0,"Ajax",player_stats,""
resolved,"Daley Blind","Eredivisie",2010,10,0,"Ajax",player_stats,""
resolved,"Daley Blind","Eredivisie",2011,21,0,"Ajax",player_stats,""
resolved,"Daley Blind","Eredivisie",2012,34,2,"Ajax",player_stats,""
resolved,"Daley Blind","Eredivisie",2013,29,1,"Ajax",player_stats,""
resolved,"Daley Blind","Eredivisie",2014,3,0,"Ajax",player_stats,""
resolved,"Daley Blind","Eredivisie",2018,34,5,"Ajax",player_stats,""
resolved,"Daley Blind","Eredivisie",2019,20,0,"Ajax",player_stats,""
resolved,"Daley Blind","Eredivisie",2020,23,1,"Ajax",player_stats,""
resolved,"Daley Blind","Eredivisie",2021,34,1,"Ajax",player_stats,""
resolved,"Daley Blind","Eredivisie",2022,13,0,"Ajax",player_stats,""
resolved,"Dan Ballard","Championship",2021,31,1,"Millwall",teams,""
resolved,"Dan Ballard","Championship",2022,19,0,"Sunderland",player_stats,""
resolved,"Dan Ballard","Championship",2023,43,3,"Sunderland",player_stats,""
resolved,"Dan Ballard","Championship",2024,20,2,"Sunderland",player_stats,""
resolved,"Daniel Amartey","Süper Lig",2023,18,0,"Beşiktaş",player_stats,"Besiktas"
resolved,"Daniele Rugani","Eredivisie",2024,15,0,"Ajax",player_stats,""
resolved,"Daniel James","Championship",2018,33,4,"Swansea",player_stats,""
resolved,"Daniel James","Championship",2023,40,13,"Leeds",player_stats,""
resolved,"Daniel James","Championship",2024,36,12,"Leeds",player_stats,""
resolved,"Daniel Podence","Primeira Liga",2017,12,0,"Sporting CP",alias,"Sporting"
resolved,"Daniel Wass","UEFA Europa League",2008,1,0,"Brondby",player_stats~,"Bröndby IF"
resolved,"Danilho Doekhi","Eredivisie",2018,20,0,"Vitesse",player_stats,""
resolved,"Danilho Doekhi","Eredivisie",2019,26,0,"Vitesse",player_stats,""
resolved,"Danilho Doekhi","Eredivisie",2020,32,1,"Vitesse",player_stats,""
resolved,"Danilho Doekhi","Eredivisie",2021,29,3,"Vitesse",player_stats,""
resolved,"Danilo","Primeira Liga",2011,6,0,"Porto",player_stats,""
resolved,"Danilo","Primeira Liga",2012,28,2,"Porto",player_stats,""
resolved,"Danilo","Primeira Liga",2013,28,3,"Porto",player_stats,""
resolved,"Danilo","Primeira Liga",2014,29,6,"Porto",player_stats,""
