outcome,player,league,season,apps,goals,club,name_source,transfermarkt_name
resolved,"Danny Ings","Championship",2013,40,20,"Burnley",player_stats,""
resolved,"Danny Ings","Championship",2025,23,2,"Sheffield Utd",alias,"Sheff Utd"
resolved,"Danny Welbeck","Championship",2009,8,2,"Preston",teams,""
resolved,"Dante","UEFA Europa League",2007,2,0,"Standard Liege",player_stats,"Standard Liège"
resolved,"Dara O'Shea","Championship",2019,17,3,"West Brom",player_stats,""
resolved,"Dara O'Shea","Championship",2021,14,2,"West Brom",player_stats,""
resolved,"Dara O'Shea","Championship",2022,37,2,"West Brom",player_stats,""
resolved,"Dara O'Shea","Championship",2024,2,1,"Burnley",player_stats,""
resolved,"Dara O'Shea","Championship",2025,46,1,"Ipswich",player_stats,""
resolved,"Dário Essugo","Primeira Liga",2024,2,0,"Sporting CP",alias,"Sporting"
resolved,"Darwin Núñez","Primeira Liga",2020,29,6,"Benfica",player_stats,""
resolved,"Darwin Núñez","Primeira Liga",2021,28,26,"Benfica",player_stats,""
resolved,"Darwin Núñez","Saudi Pro League",2025,16,6,"Al-Hilal Saudi FC",teams~,"Al-Hilal"
resolved,"David Affengruber","Bundesliga",2020,5,0,"FC Liefering",teams,""
resolved,"David Brooks","Championship",2017,30,3,"Sheffield Utd",alias,"Sheff Utd"
resolved,"David Brooks","Championship",2020,32,5,"Bournemouth",player_stats,""
resolved,"David Brooks","Championship",2021,7,1,"Bournemouth",player_stats,""
resolved,"David Brooks","Championship",2023,17,2,"Southampton",player_stats,""
resolved,"David Carmo","Primeira Liga",2019,18,0,"SC Braga",player_stats,"Braga"
resolved,"David Carmo","Primeira Liga",2020,12,0,"SC Braga",player_stats,"Braga"
resolved,"David Carmo","Primeira Liga",2021,12,0,"SC Braga",player_stats,"Braga"
resolved,"David Carmo","Primeira Liga",2023,7,0,"Porto",player_stats,""
resolved,"Dávid Hancko","Eredivisie",2022,31,2,"Feyenoord",player_stats,""
resolved,"Dávid Hancko","Eredivisie",2023,34,5,"Feyenoord",player_stats,""
resolved,"Dávid Hancko","Eredivisie",2024,32,3,"Feyenoord",player_stats,""
resolved,"David Neres","Eredivisie",2016,8,3,"Ajax",player_stats,""
resolved,"David Neres","Eredivisie",2017,32,14,"Ajax",player_stats,""
resolved,"David Neres","Eredivisie",2018,29,8,"Ajax",player_stats,""
resolved,"David Neres","Eredivisie",2019,12,6,"Ajax",player_stats,""
resolved,"David Neres","Eredivisie",2020,25,3,"Ajax",player_stats,""
resolved,"David Neres","Eredivisie",2021,15,3,"Ajax",player_stats,""
resolved,"David Neres","Primeira Liga",2022,31,6,"Benfica",player_stats,""
resolved,"David Neres","Primeira Liga",2023,24,5,"Benfica",player_stats,""
resolved,"Davie Selke","Süper Lig",2025,24,10,"Başakşehir",player_stats,"Basaksehir"
resolved,"Davinson Sánchez","Süper Lig",2023,23,2,"Galatasaray",player_stats,""
resolved,"Davinson Sánchez","Süper Lig",2024,31,3,"Galatasaray",player_stats,""
resolved,"Davinson Sánchez","Süper Lig",2025,30,1,"Galatasaray",player_stats,""
resolved,"Davy Klaassen","Eredivisie",2012,2,0,"Ajax",player_stats,""
resolved,"Davy Klaassen","Eredivisie",2013,26,10,"Ajax",player_stats,""
resolved,"Davy Klaassen","Eredivisie",2014,30,6,"Ajax",player_stats,""
resolved,"Davy Klaassen","Eredivisie",2015,31,13,"Ajax",player_stats,""
resolved,"Davy Klaassen","Eredivisie",2016,33,14,"Ajax",player_stats,""
resolved,"Davy Klaassen","Eredivisie",2020,29,12,"Ajax",player_stats,""
resolved,"Davy Klaassen","Eredivisie",2021,31,9,"Ajax",player_stats,""
resolved,"Davy Klaassen","Eredivisie",2022,33,8,"Ajax",player_stats,""
resolved,"Davy Klaassen","Eredivisie",2023,2,1,"Ajax",player_stats,""
resolved,"Davy Klaassen","Eredivisie",2024,31,8,"Ajax",player_stats,""
resolved,"Davy Klaassen","Eredivisie",2025,29,6,"Ajax",player_stats,""
resolved,"Davy Pröpper","Eredivisie",2009,11,0,"Vitesse",player_stats,""
resolved,"Davy Pröpper","Eredivisie",2010,29,3,"Vitesse",player_stats,""
resolved,"Davy Pröpper","Eredivisie",2011,16,1,"Vitesse",player_stats,""
resolved,"Davy Pröpper","Eredivisie",2012,14,0,"Vitesse",player_stats,""
resolved,"Davy Pröpper","Eredivisie",2013,33,6,"Vitesse",player_stats,""
resolved,"Davy Pröpper","Eredivisie",2014,30,5,"Vitesse",player_stats,""
resolved,"Davy Pröpper","Eredivisie",2016,34,6,"PSV Eindhoven",player_stats,""
resolved,"Davy Pröpper","Eredivisie",2021,9,1,"PSV Eindhoven",player_stats,""
resolved,"Davy Pröpper","Eredivisie",2022,2,0,"Vitesse",player_stats,""
resolved,"Davy Pröpper","Eredivisie",2023,2,0,"Vitesse",player_stats,""
resolved,"Dejan Lovren","UEFA Europa League",2008,5,1,"Dinamo Zagreb",player_stats,""
resolved,"Dele Alli","Süper Lig",2022,13,2,"Beşiktaş",player_stats,"Besiktas"
resolved,"Demarai Gray","Championship",2014,41,6,"Birmingham",player_stats,""
resolved,"Demarai Gray","Championship",2015,24,1,"Birmingham",player_stats,""
resolved,"Demarai Gray","Saudi Pro League",2023,23,4,"Al-Ettifaq",teams,""
resolved,"Demarai Gray","Saudi Pro League",2024,24,0,"Al-Ettifaq",teams,""
resolved,"Demarai Gray","Championship",2025,37,5,"Birmingham",player_stats,""
resolved,"Dennis Man","Eredivisie",2025,25,7,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Dennis Praet","Championship",2023,17,0,"Leicester",player_stats,""
resolved,"Denzel Dumfries","Eredivisie",2016,31,1,"Sparta Rotterdam",teams,"Sparta R."
resolved,"Denzel Dumfries","Eredivisie",2019,25,7,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Denzel Dumfries","Eredivisie",2020,30,2,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Diadié Samassékou","Bundesliga",2016,27,0,"FC Liefering",teams,""
resolved,"Diego Carlos","Primeira Liga",2015,31,2,"Estoril",player_stats,""
resolved,"Diego Carlos","Süper Lig",2024,4,0,"Fenerbahçe",player_stats,""
resolved,"Diogo Dalot","Primeira Liga",2017,6,0,"Porto",player_stats,""
resolved,"Diogo Jota","Primeira Liga",2014,10,2,"Pacos Ferreira",player_stats,"Paços Ferreira"
resolved,"Diogo Jota","Primeira Liga",2015,31,12,"Pacos Ferreira",player_stats,"Paços Ferreira"
resolved,"Diogo Jota","Championship",2017,44,17,"Wolves",player_stats,""
resolved,"Diogo Leite","Primeira Liga",2019,9,0,"Porto",player_stats,""
resolved,"Diogo Leite","Primeira Liga",2020,19,1,"Porto",player_stats,""
resolved,"Djed Spence","Championship",2019,22,1,"Middlesbrough",player_stats,""
resolved,"Djed Spence","Championship",2020,38,1,"Middlesbrough",player_stats,""
resolved,"Djed Spence","Championship",2023,7,0,"Leeds",player_stats,""
resolved,"Dodi Lukébakio","Primeira Liga",2025,17,0,"Benfica",player_stats,""
resolved,"Dodô","Primeira Liga",2018,9,1,"Guimaraes",player_stats~,"Vit. Guimarães"
resolved,"Domagoj Vida","Süper Lig",2017,13,1,"Beşiktaş",player_stats,"Besiktas"
resolved,"Domagoj Vida","Süper Lig",2018,31,3,"Beşiktaş",player_stats,"Besiktas"
resolved,"Domagoj Vida","Süper Lig",2019,31,5,"Beşiktaş",player_stats,"Besiktas"
resolved,"Domagoj Vida","Süper Lig",2020,34,5,"Beşiktaş",player_stats,"Besiktas"
resolved,"Domagoj Vida","Süper Lig",2021,28,1,"Beşiktaş",player_stats,"Besiktas"
resolved,"Dominic Solanke","Eredivisie",2015,25,7,"Vitesse",player_stats,""
resolved,"Dominic Solanke","Championship",2020,40,15,"Bournemouth",player_stats,""
resolved,"Dominic Solanke","Championship",2021,46,29,"Bournemouth",player_stats,""
resolved,"Dominik Szoboszlai","Bundesliga",2017,1,0,"FC Liefering",teams,""
resolved,"Dominik Szoboszlai","Bundesliga",2020,12,4,"RB Leipzig",player_stats,"Leipzig"
resolved,"Donny van de Beek","Eredivisie",2015,8,0,"Ajax",player_stats,""
resolved,"Donny van de Beek","Eredivisie",2016,19,0,"Ajax",player_stats,""
resolved,"Donny van de Beek","Eredivisie",2017,34,11,"Ajax",player_stats,""
resolved,"Donny van de Beek","Eredivisie",2018,34,9,"Ajax",player_stats,""
resolved,"Donny van de Beek","Eredivisie",2019,23,8,"Ajax",player_stats,""
resolved,"Donyell Malen","Eredivisie",2018,31,10,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Donyell Malen","Eredivisie",2019,14,11,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Donyell Malen","Eredivisie",2020,32,19,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Dries Mertens","Eredivisie",2010,31,10,"Utrecht",player_stats,"FC Utrecht"
resolved,"Dries Mertens","Eredivisie",2012,29,16,"PSV Eindhoven",player_stats,""
resolved,"Dries Mertens","Süper Lig",2022,30,6,"Galatasaray",player_stats,""
resolved,"Dries Mertens","Süper Lig",2023,36,9,"Galatasaray",player_stats,""
resolved,"Dries Mertens","Süper Lig",2024,34,5,"Galatasaray",player_stats,""
resolved,"Duje Caleta-Car","Bundesliga",2014,7,0,"FC Liefering",teams,""
resolved,"Dušan Tadić","Eredivisie",2010,34,7,"Groningen",player_stats,"FC Groningen"
resolved,"Dušan Tadić","Eredivisie",2011,34,7,"Groningen",player_stats,"FC Groningen"
resolved,"Dušan Tadić","Eredivisie",2013,33,16,"Twente",player_stats,"FC Twente"
resolved,"Dušan Tadić","Eredivisie",2018,34,28,"Ajax",player_stats,""
resolved,"Dušan Tadić","Eredivisie",2019,25,11,"Ajax",player_stats,""
resolved,"Dušan Tadić","Eredivisie",2020,34,14,"Ajax",player_stats,""
resolved,"Dušan Tadić","Eredivisie",2021,34,13,"Ajax",player_stats,""
resolved,"Dušan Tadić","Eredivisie",2022,34,11,"Ajax",player_stats,""
resolved,"Dušan Tadić","Süper Lig",2023,38,10,"Fenerbahçe",player_stats,""
resolved,"Dušan Tadić","Süper Lig",2024,35,11,"Fenerbahçe",player_stats,""
resolved,"Dwight Gayle","Championship",2016,32,23,"Newcastle",player_stats,""
resolved,"Dwight Gayle","Championship",2018,39,23,"West Brom",player_stats,""
resolved,"Dwight Gayle","Championship",2022,35,3,"Stoke City",player_stats,""
resolved,"Eberechi Eze","Championship",2018,42,4,"QPR",player_stats,""
resolved,"Eberechi Eze","Championship",2019,46,14,"QPR",player_stats,""
resolved,"Eddie Nketiah","Championship",2019,17,3,"Leeds",player_stats,""
resolved,"Éder Militão","Primeira Liga",2018,29,3,"Porto",player_stats,""
resolved,"Edin Dzeko","UEFA Europa League",2003,1,0,"Zeljeznicar Sarajevo",player_stats~,"Zeljeznicar"
resolved,"Edin Dzeko","UEFA Europa League",2008,8,4,"VfL Wolfsburg",player_stats~,"Wolfsburg"
resolved,"Edin Dzeko","Süper Lig",2023,36,21,"Fenerbahçe",player_stats,""
resolved,"Edin Dzeko","Süper Lig",2024,35,14,"Fenerbahçe",player_stats,""
resolved,"Edinson Cavani","UEFA Europa League",2007,2,0,"Palermo",player_stats~,"US Palermo"
resolved,"Edmond Tapsoba","Primeira Liga",2019,16,4,"Guimaraes",player_stats~,"Vit. Guimarães"
resolved,"Edoardo Bove","Championship",2025,11,1,"Watford",player_stats,""
resolved,"Edson Álvarez","Eredivisie",2019,12,0,"Ajax",player_stats,""
resolved,"Edson Álvarez","Eredivisie",2020,24,2,"Ajax",player_stats,""
resolved,"Edson Álvarez","Eredivisie",2021,31,5,"Ajax",player_stats,""
resolved,"Edson Álvarez","Eredivisie",2022,31,3,"Ajax",player_stats,""
resolved,"Edson Álvarez","Süper Lig",2025,12,0,"Fenerbahçe",player_stats,""
resolved,"Eduardo Quaresma","Primeira Liga",2019,9,0,"Sporting CP",alias,"Sporting"
resolved,"Eduardo Quaresma","Primeira Liga",2020,2,0,"Sporting CP",alias,"Sporting"
resolved,"Eduardo Quaresma","Primeira Liga",2023,20,1,"Sporting CP",alias,"Sporting"
resolved,"Eduardo Quaresma","Primeira Liga",2024,20,1,"Sporting CP",alias,"Sporting"
resolved,"Eduardo Quaresma","Primeira Liga",2025,16,2,"Sporting CP",alias,"Sporting"
resolved,"Eduardo Salvio","Primeira Liga",2010,19,4,"Benfica",player_stats,""
resolved,"Eduardo Salvio","Primeira Liga",2012,29,10,"Benfica",player_stats,""
resolved,"Eduardo Salvio","Primeira Liga",2013,12,0,"Benfica",player_stats,""
resolved,"Eduardo Salvio","Primeira Liga",2014,29,9,"Benfica",player_stats,""
resolved,"Eduardo Salvio","Primeira Liga",2015,8,0,"Benfica",player_stats,""
resolved,"Eduardo Salvio","Primeira Liga",2016,29,4,"Benfica",player_stats,""
resolved,"Eduardo Salvio","Primeira Liga",2017,26,9,"Benfica",player_stats,""
resolved,"Eduardo Salvio","Primeira Liga",2018,14,2,"Benfica",player_stats,""
resolved,"Eliaquim Mangala","UEFA Europa League",2008,3,0,"Standard Liege",player_stats,"Standard Liège"
resolved,"Eliaquim Mangala","Primeira Liga",2011,7,0,"Porto",player_stats,""
resolved,"Eliaquim Mangala","Primeira Liga",2012,23,4,"Porto",player_stats,""
resolved,"Eliaquim Mangala","Primeira Liga",2013,21,2,"Porto",player_stats,""
resolved,"Eliaquim Mangala","Primeira Liga",2023,17,1,"Estoril",player_stats,""
resolved,"Eliaquim Mangala","Primeira Liga",2024,9,0,"Estoril",player_stats,""
resolved,"Eliezer Mayenda","Championship",2023,8,0,"Sunderland",player_stats,""
resolved,"Eliezer Mayenda","Championship",2024,37,8,"Sunderland",player_stats,""
resolved,"Eljif Elmas","Süper Lig",2018,29,4,"Fenerbahçe",player_stats,""
resolved,"El Touré","Süper Lig",2025,22,5,"Beşiktaş",player_stats,"Besiktas"
resolved,"Emile Smith Rowe","Championship",2019,19,2,"Huddersfield",player_stats,""
resolved,"Emiliano Buendía","Championship",2018,38,8,"Norwich",player_stats,""
resolved,"Emiliano Buendía","Championship",2020,39,15,"Norwich",player_stats,""
resolved,"Emmanuel Agbadou","Süper Lig",2025,13,1,"Beşiktaş",player_stats,"Besiktas"
resolved,"Emmanuel Dennis","Süper Lig",2023,8,0,"Başakşehir",player_stats,"Basaksehir"
resolved,"Emmanuel Emegha","Eredivisie",2020,16,1,"Sparta Rotterdam",teams,"Sparta R."
resolved,"Emmanuel Emegha","Eredivisie",2021,19,2,"Sparta Rotterdam",teams,"Sparta R."
resolved,"Emmanuel Latte Lath","Championship",2023,30,16,"Middlesbrough",player_stats,""
resolved,"Emmanuel Latte Lath","Championship",2024,29,11,"Middlesbrough",player_stats,""
resolved,"Enes Ünal","Süper Lig",2013,16,3,"Bursaspor",player_stats,""
resolved,"Enes Ünal","Süper Lig",2014,19,1,"Bursaspor",player_stats,""
resolved,"Enes Ünal","Eredivisie",2016,32,18,"Twente",player_stats,"FC Twente"
resolved,"Enzo Fernández","Primeira Liga",2022,17,1,"Benfica",player_stats,""
resolved,"Enzo Le Fée","Championship",2024,15,1,"Sunderland",player_stats,""
resolved,"Enzo Millot","Saudi Pro League",2025,24,3,"Al-Ahli Jeddah",teams~,"Al-Ahli"
resolved,"Enzo Pérez","Primeira Liga",2011,3,0,"Benfica",player_stats,""
resolved,"Enzo Pérez","Primeira Liga",2012,28,4,"Benfica",player_stats,""
resolved,"Enzo Pérez","Primeira Liga",2013,28,4,"Benfica",player_stats,""
resolved,"Enzo Pérez","Primeira Liga",2014,11,1,"Benfica",player_stats,""
resolved,"Eric Bailly","Süper Lig",2023,5,0,"Beşiktaş",player_stats,"Besiktas"
resolved,"Eric Choupo-Moting","UEFA Europa League",2007,5,1,"Hamburger SV",alias,"Hamburg"
resolved,"Eric Dier","Primeira Liga",2012,14,1,"Sporting CP",alias,"Sporting"
resolved,"Eric Dier","Primeira Liga",2013,14,0,"Sporting CP",alias,"Sporting"
resolved,"Erick Pulgar","Süper Lig",2021,11,0,"Galatasaray",player_stats,""
